province,asis_vhi_mean,rainfall_pct_normal_mean,soil_moisture_pct_normal_mean,night_lst_celsius_mean,composite_biophysical_stress_mean,agricultural_priority_mean,exposure_priority_mean,priority_class,population_high_priority,population_moderate_priority,population_watch_priority,population_exposed_total,census_units,census_units_no_coverage,cropland_high_ha,cropland_stressed_ha
National Capital District,0.445,23.4,64.9,0.0,57.1,39.3,39.3,Moderate,154258.0,33222.0,370270.0,187480.0,723,240,0.0,0.0
Manus,0.417,57.8,72.0,0.0,53.0,35.2,35.2,Moderate,19635.0,10280.0,14280.0,29915.0,243,91,0.0,0.0
Western,0.456,27.3,78.5,0.1,51.1,44.3,44.3,Moderate,112482.0,35539.0,68145.0,148021.0,916,254,0.0,0.0
West New Britain,0.503,45.7,77.0,0.0,46.2,42.1,42.1,Moderate,115641.0,43231.0,83892.0,158872.0,746,198,0.0,0.0
Madang,0.517,49.2,78.5,0.5,44.7,42.0,42.0,Moderate,362509.0,118444.0,106002.0,480953.0,1785,319,692.0,692.0
East Sepik,0.435,53.5,90.6,0.1,44.0,42.1,42.1,Moderate,294798.0,244672.0,91941.0,539470.0,1645,108,0.0,0.0
Eastern Highlands,0.517,55.0,78.2,1.6,43.5,43.2,43.2,Moderate,365275.0,141395.0,165743.0,506670.0,3061,384,1.0,1.0
Gulf,0.478,28.2,91.8,0.0,42.5,41.2,41.2,Moderate,53664.0,73345.0,24942.0,127009.0,582,118,0.0,0.0
Milne Bay,0.538,24.8,84.2,0.1,42.5,25.7,25.7,Moderate,77774.0,33441.0,107893.0,111215.0,1327,507,0.0,0.0
Southern Highlands,0.499,38.3,87.8,0.8,42.4,40.6,40.6,Moderate,258342.0,344564.0,179057.0,602906.0,2982,367,0.0,0.0
Morobe,0.508,42.8,87.7,0.9,42.2,40.1,40.1,Moderate,414225.0,272813.0,284287.0,687038.0,2811,376,593.0,790.0
Central,0.575,31.1,81.8,0.3,41.1,40.0,40.0,Moderate,150215.0,89458.0,78628.0,239673.0,1235,175,0.0,0.0
Western Highlands,0.47,57.9,90.5,2.5,40.2,40.1,40.1,Moderate,273990.0,129314.0,115579.0,403304.0,1347,128,0.0,0.0
Oro,0.549,32.0,87.9,0.3,39.9,39.1,39.1,Watch,69487.0,128873.0,44810.0,198360.0,991,116,0.0,0.0
Chimbu,0.533,54.2,90.2,1.3,35.7,35.4,35.4,Watch,113413.0,328408.0,169924.0,441821.0,1792,167,0.0,0.0
New Ireland,0.535,70.1,76.0,0.0,35.2,25.0,25.0,Watch,46022.0,34818.0,45505.0,80840.0,802,336,0.0,0.0
Jiwaka,0.54,59.7,87.7,2.1,35.1,35.0,35.0,Watch,126123.0,201041.0,86772.0,327164.0,1139,97,0.0,0.0
Hela,0.558,58.9,87.9,2.6,33.7,33.3,33.3,Watch,54997.0,156241.0,104344.0,211238.0,1959,399,0.0,0.0
Sandaun,0.473,70.1,91.3,0.4,33.3,28.9,28.9,Watch,76853.0,89061.0,144546.0,165914.0,1238,219,0.0,0.0
Enga,0.547,63.1,90.9,5.1,31.6,31.5,31.5,Watch,77908.0,369676.0,64728.0,447584.0,1043,123,0.0,0.0
East New Britain,0.547,73.5,89.0,0.0,27.4,22.5,22.5,Watch,14391.0,115394.0,130068.0,129785.0,1001,254,0.0,0.0
Bougainville,0.572,77.7,94.7,0.0,21.5,15.3,15.3,Watch,27025.0,43537.0,113816.0,70562.0,1340,390,0.0,0.0
